,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2020-09-23 14:01:00,1.0,1.5,-0.5,-0.5,1.5,-0.5,-0.5,1.0,-0.5,-0.5,1.0,1.0
2020-09-23 14:02:00,1.3333333333333333,1.6666666666666667,-1.0,-0.6666666666666666,2.0,-1.0,-1.0,1.0,-0.3333333333333333,-0.3333333333333333,1.0,0.6666666666666666
2020-09-23 14:03:00,1.5,1.75,-1.5,-1.0,2.0,-1.0,-1.5,1.0,0.0,-0.25,0.75,0.5
2020-09-23 14:04:00,1.8,1.8,-2.0,-1.4,2.2,-1.2,-2.0,1.0,0.0,-0.2,0.6,0.4
2020-09-23 14:05:00,1.8333333333333333,1.8333333333333333,-2.1666666666666665,-1.6666666666666667,2.3333333333333335,-1.1666666666666667,-2.1666666666666665,0.8333333333333334,0.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333
2020-09-23 14:06:00,2.0,2.0,-2.4285714285714284,-2.0,2.5714285714285716,-1.2857142857142858,-2.2857142857142856,0.8571428571428571,0.0,-0.2857142857142857,0.8571428571428571,0.2857142857142857
2020-09-23 14:07:00,2.25,2.25,-2.625,-2.125,2.75,-1.25,-2.375,1.0,0.125,-0.125,0.875,0.125
2020-09-23 14:08:00,2.3333333333333335,2.4444444444444446,-2.6666666666666665,-2.2222222222222223,2.7777777777777777,-1.2222222222222223,-2.3333333333333335,1.1111111111111112,0.1111111111111111,0.0,1.0,0.0
2020-09-23 14:09:00,2.5,2.7,-2.6,-2.3,2.7,-1.2,-2.3,1.2,0.0,0.0,1.1,0.0
2020-09-23 14:10:00,2.5454545454545454,2.909090909090909,-2.4545454545454546,-2.3636363636363638,2.727272727272727,-1.1818181818181819,-2.1818181818181817,1.2727272727272727,-0.18181818181818182,-0.09090909090909091,1.1818181818181819,-0.09090909090909091
2020-09-23 14:11:00,2.5833333333333335,3.0,-2.25,-2.3333333333333335,2.8333333333333335,-1.1666666666666667,-2.1666666666666665,1.25,-0.3333333333333333,-0.08333333333333333,1.25,-0.08333333333333333
2020-09-23 14:12:00,2.5384615384615383,3.0,-2.0,-2.3846153846153846,2.8461538461538463,-1.1538461538461537,-2.230769230769231,1.3076923076923077,-0.38461538461538464,-0.07692307692307693,1.3076923076923077,-0.07692307692307693
2020-09-23 14:13:00,2.4285714285714284,3.0,-1.7857142857142858,-2.5,2.857142857142857,-1.1428571428571428,-2.357142857142857,1.4285714285714286,-0.5,-0.07142857142857142,1.3571428571428572,-0.07142857142857142
2020-09-23 14:14:00,2.3333333333333335,3.0,-1.6,-2.6,2.933333333333333,-1.2,-2.466666666666667,1.4666666666666666,-0.6666666666666666,-0.13333333333333333,1.3333333333333333,-0.06666666666666667
2020-09-23 14:15:00,2.1875,3.0,-1.4375,-2.625,2.9375,-1.1875,-2.5,1.5625,-0.8125,-0.125,1.3125,-0.125
2020-09-23 14:16:00,2.0588235294117645,3.0,-1.3529411764705883,-2.7058823529411766,3.0,-1.1764705882352942,-2.5294117647058822,1.588235294117647,-0.8823529411764706,-0.11764705882352941,1.2352941176470589,-0.23529411764705882
2020-09-23 14:17:00,1.9444444444444444,3.0,-1.3333333333333333,-2.8333333333333335,3.111111111111111,-1.1666666666666667,-2.611111111111111,1.5555555555555556,-0.9444444444444444,-0.05555555555555555,1.1111111111111112,-0.3888888888888889
2020-09-23 14:18:00,1.894736842105263,3.0,-1.3157894736842106,-2.8947368421052633,3.1578947368421053,-1.105263157894737,-2.6315789473684212,1.4736842105263157,-1.0526315789473684,-0.05263157894736842,1.0,-0.5789473684210527
2020-09-23 14:19:00,1.85,3.0,-1.35,-2.9,3.15,-1.0,-2.7,1.35,-1.15,-0.05,0.9,-0.8
2020-09-23 14:20:00,1.8095238095238095,3.0,-1.380952380952381,-2.9047619047619047,3.1904761904761907,-0.9047619047619048,-2.761904761904762,1.2857142857142858,-1.2857142857142858,0.0,0.7619047619047619,-1.0476190476190477
2020-09-23 14:21:00,1.7727272727272727,3.0454545454545454,-1.4545454545454546,-2.9545454545454546,3.272727272727273,-0.8636363636363636,-2.8636363636363638,1.1818181818181819,-1.4090909090909092,0.045454545454545456,0.5909090909090909,-1.2272727272727273
2020-09-23 14:22:00,1.7391304347826086,3.0434782608695654,-1.4782608695652173,-3.0434782608695654,3.3043478260869565,-0.8260869565217391,-2.9565217391304346,1.0869565217391304,-1.565217391304348,0.13043478260869565,0.391304347826087,-1.391304347826087
2020-09-23 14:23:00,1.6666666666666667,3.0416666666666665,-1.5416666666666667,-3.125,3.375,-0.7916666666666666,-3.0,1.0416666666666667,-1.75,0.16666666666666666,0.20833333333333334,-1.5416666666666667
2020-09-23 14:24:00,1.6,3.0,-1.64,-3.24,3.48,-0.8,-3.0,0.96,-1.92,0.16,0.0,-1.72
2020-09-23 14:25:00,1.5,2.9615384615384617,-1.7307692307692308,-3.3076923076923075,3.6153846153846154,-0.8076923076923077,-2.9615384615384617,0.8461538461538461,-2.0384615384615383,0.11538461538461539,-0.23076923076923078,-1.8846153846153846
2020-09-23 14:26:00,1.4074074074074074,2.962962962962963,-1.8518518518518519,-3.3333333333333335,3.7037037037037037,-0.8148148148148148,-2.888888888888889,0.7777777777777778,-2.1481481481481484,0.07407407407407407,-0.4444444444444444,-2.074074074074074
2020-09-23 14:27:00,1.3571428571428572,2.9285714285714284,-1.9285714285714286,-3.392857142857143,3.7857142857142856,-0.8214285714285714,-2.857142857142857,0.7142857142857143,-2.2857142857142856,0.0,-0.6785714285714286,-2.25
2020-09-23 14:28:00,1.2758620689655173,2.8620689655172415,-2.0,-3.413793103448276,3.8620689655172415,-0.8620689655172413,-2.793103448275862,0.6551724137931034,-2.4482758620689653,-0.10344827586206896,-0.9310344827586207,-2.4482758620689653
